Time	Default/Point#1	Default/Point#1	Default/Point#1	Velocity (Default/Point#81)	Velocity (Default/Point#1)	Velocity (Default/Point#1)	/Angle#1	Velocity (/Angle#1)	
	x[mm]	y[mm]	abs[mm]	abs[m/s]	x[m/s]	y[m/s]	angle[degrees]	angular speed[°/s]	
[ms]	210602172914	210602172914	210602172914	210602172914	210602172914	210602172914	210602172914	210602172914	
0.0000	0.166175	0.142945	0.219197	X	X	X	X	X
26875.0000	0.173947	0.144671	0.226247	1.4706e-07	1.3461e-07	-5.9220e-08	X	X
27000.0000	0.174107	0.144318	0.226143	1.4711e-07	1.2824e-07	-7.2070e-08	X	X
27125.0000	0.174336	0.144301	0.226309	7.5159e-08	-5.4218e-08	-5.2050e-08	X	X
27250.0000	0.173892	0.144262	0.225942	2.4651e-07	-2.4464e-07	3.0235e-08	X	X
27375.0000	0.173963	0.144620	0.226226	2.7295e-07	-2.6380e-07	7.0090e-08	X	X
27500.0000	0.173126	0.144749	0.225666	3.2344e-07	-3.2229e-07	-2.7225e-08	X	X
27625.0000	0.172281	0.144343	0.224757	3.9542e-07	-3.6987e-07	-1.3983e-07	X	X
27750.0000	0.172473	0.143959	0.224657	3.2514e-07	-3.2429e-07	2.3490e-08	X	X
27875.0000	0.172481	0.143914	0.224635	2.7332e-07	-2.1122e-07	1.7346e-07	X	X
28000.0000	0.172476	0.144016	0.224697	2.5862e-07	-1.8757e-07	1.7805e-07	X	X
28125.0000	0.172692	0.144656	0.225273	8.9997e-08	-4.3584e-08	7.8740e-08	X	X
28250.0000	0.173743	0.144857	0.226209	7.1771e-08	-5.3745e-08	-4.7566e-08	X	X
28375.0000	0.173637	0.144400	0.225834	1.1612e-07	-1.4691e-08	-1.1519e-07	X	X
28500.0000	0.173820	0.144248	0.225878	2.0193e-07	-1.6857e-07	-1.1117e-07	X	X
28625.0000	0.173858	0.144693	0.226192	4.3941e-07	-4.3321e-07	-7.3567e-08	X	X
28750.0000	0.173316	0.144841	0.225870	4.7901e-07	-4.7837e-07	-2.4710e-08	X	X
28875.0000	0.172597	0.144542	0.225127	5.4250e-07	-5.0340e-07	-2.0222e-07	X	X
29000.0000	0.172720	0.144074	0.224921	6.9959e-07	-5.9296e-07	-3.7125e-07	X	X
29125.0000	0.172226	0.143951	0.224463	6.7425e-07	-5.7153e-07	-3.5772e-07	X	X
29250.0000	0.172153	0.143791	0.224305	4.9485e-07	-4.5843e-07	-1.8634e-07	X	X
29375.0000	0.171886	0.143883	0.224159	4.3990e-07	-4.2580e-07	-1.1047e-07	X	X
29500.0000	0.172121	0.144391	0.224665	4.0430e-07	-3.8404e-07	-1.2638e-07	X	X
29625.0000	0.172977	0.144894	0.225644	2.3314e-07	-2.1274e-07	-9.5386e-08	X	X
29750.0000	0.173140	0.143946	0.225163	1.2422e-07	-1.2397e-07	7.9318e-09	X	X
29875.0000	0.172917	0.143877	0.224946	1.4075e-07	-8.9903e-08	1.0830e-07	X	X
30000.0000	0.173288	0.144039	0.225335	2.0800e-07	1.9771e-08	2.0706e-07	X	X
30125.0000	0.172630	0.144510	0.225132	3.5060e-07	2.2366e-07	2.6999e-07	X	X
30250.0000	0.172191	0.144505	0.224792	4.2171e-07	3.6205e-07	2.1623e-07	X	X
30375.0000	0.171820	0.144235	0.224334	4.1453e-07	3.9363e-07	1.2995e-07	X	X
30500.0000	0.172139	0.143959	0.224401	5.2347e-07	4.9512e-07	1.6992e-07	X	X
30625.0000	0.172100	0.144047	0.224428	7.7228e-07	6.7272e-07	3.7929e-07	X	X
30750.0000	0.172475	0.144260	0.224852	6.2052e-07	5.5385e-07	2.7981e-07	X	X
30875.0000	0.172694	0.144747	0.225333	3.7793e-07	3.7007e-07	7.6687e-08	X	X
31000.0000	0.173727	0.144804	0.226162	3.0690e-07	2.6272e-07	-1.5864e-07	X	X
31125.0000	0.173697	0.144525	0.225961	2.4840e-07	4.7843e-08	-2.4374e-07	X	X
31250.0000	0.173688	0.144363	0.225850	3.6910e-07	-2.6113e-07	-2.6086e-07	X	X
31375.0000	0.174027	0.144482	0.226186	6.6812e-07	-6.2511e-07	-2.3582e-07	X	X
31500.0000	0.173701	0.144767	0.226119	7.7360e-07	-7.4380e-07	-2.1263e-07	X	X
31625.0000	0.172136	0.144288	0.224610	9.7952e-07	-9.2718e-07	-3.1591e-07	X	X
